equipo,confederacion,ranking_fifa,puntos_fifa,mundiales_jugados,partidos_totales,victorias_totales,empates_totales,derrotas_totales,gf_total,gc_total,win_rate_historico,gf_prom_hist,gc_prom_hist,mejor_posicion,ultimo_mundial,veces_campeon,veces_final,veces_semifinal,veces_cuartos,mundiales_recientes,partidos_recientes,victorias_recientes,empates_recientes,derrotas_recientes,gf_reciente,gc_reciente,win_rate_reciente,gf_prom_rec,gc_prom_rec,summary_campeon,summary_sub,summary_tercero,ptd_grupos_match,v_grupos_match,e_grupos_match,d_grupos_match,gf_grupos_match,gc_grupos_match,wr_grupos_match,gfp_grupos_match,gcp_grupos_match,ptd_ko_match,v_ko_match,e_ko_match,d_ko_match,gf_ko_match,gc_ko_match,wr_ko_match,gfp_ko_match,gcp_ko_match,finales_jugadas,semis_jugadas,ptd_total_match,wr_total_match,gfp_total_match,gcp_total_match,ratio_goles_hist,ratio_goles_rec,consistencia_mundial,indice_titulo,tendencia,brecha_grupos_ko,indice_presion,eficiencia_goleadora,solidez_defensiva,indice_rendimiento,debut_2026,estado_clasificacion,nota_clasificacion,seed_ranking
Spain,UEFA,1.0000,1877.1800,16,66,31,16,19,108,74,0.4697,1.6364,1.1212,1.0000,2022.0000,1,1,2,6,3,11,3,4,4,20,16,0.2727,1.8182,1.4545,1,0,0,35.0000,13.0000,11.0000,11.0000,44.0000,36.0000,0.3714,1.2571,1.0286,17.0000,1.0000,8.0000,8.0000,15.0000,25.0000,0.0588,0.8824,1.4706,3.0000,3.0000,52.0000,0.2692,1.1346,1.1731,1.4595,1.2501,0.7273,7.0000,-0.1970,0.3126,0.0588,1.4595,0.7597,44.1800,False,confirmado,,1
Argentina,CONMEBOL,2.0000,1873.3300,18,88,49,15,24,152,101,0.5568,1.7273,1.1477,1.0000,2022.0000,3,6,6,11,3,18,12,2,4,29,21,0.6667,1.6111,1.1667,3,3,0,47.0000,17.0000,11.0000,19.0000,55.0000,57.0000,0.3617,1.1702,1.2128,16.0000,6.0000,3.0000,7.0000,12.0000,16.0000,0.3750,0.7500,1.0000,2.0000,1.0000,63.0000,0.3651,1.0635,1.1587,1.5050,1.3809,0.8182,30.0000,0.1099,-0.0133,0.3750,1.5050,0.7541,76.7800,False,confirmado,,2
France,UEFA,3.0000,1870.0000,16,73,39,13,21,136,85,0.5342,1.8630,1.1644,1.0000,2022.0000,2,4,7,10,3,19,14,2,3,40,17,0.7368,2.1053,0.8947,2,2,2,41.0000,14.0000,8.0000,19.0000,54.0000,59.0000,0.3415,1.3171,1.4390,15.0000,4.0000,5.0000,6.0000,12.0000,14.0000,0.2667,0.8000,0.9333,0.0000,2.0000,56.0000,0.3214,1.1786,1.3036,1.6000,2.3531,0.7273,27.0000,0.2026,0.0748,0.2667,1.6000,0.7505,75.5000,False,confirmado,,3
England,UEFA,4.0000,1834.1200,16,74,32,22,20,104,68,0.4324,1.4054,0.9189,1.0000,2022.0000,1,1,3,12,3,15,6,3,6,27,16,0.4000,1.8000,1.0667,1,0,0,36.0000,12.0000,14.0000,10.0000,47.0000,40.0000,0.3333,1.3056,1.1111,7.0000,3.0000,3.0000,1.0000,8.0000,6.0000,0.4286,1.1429,0.8571,2.0000,1.0000,43.0000,0.3488,1.2791,1.0698,1.5294,1.6874,0.7273,8.0000,-0.0324,-0.0953,0.4286,1.5294,0.8031,55.0700,False,confirmado,,4
Brazil,CONMEBOL,5.0000,1760.4600,22,114,76,18,20,237,108,0.6667,2.0789,0.9474,1.0000,2022.0000,5,7,11,19,3,17,9,3,5,27,20,0.5294,1.5882,1.1765,5,2,2,36.0000,15.0000,11.0000,10.0000,41.0000,38.0000,0.4167,1.1389,1.0556,12.0000,4.0000,6.0000,2.0000,12.0000,11.0000,0.3333,1.0000,0.9167,0.0000,0.0000,48.0000,0.3958,1.1042,1.0208,2.1943,1.3499,1.0000,46.0000,-0.1373,0.0834,0.3333,2.1943,0.7970,86.9900,False,confirmado,,5
Portugal,UEFA,6.0000,1760.3800,8,35,17,6,12,61,41,0.4857,1.7429,1.1714,3.0000,2022.0000,0,0,2,3,3,12,5,3,4,22,19,0.4167,1.8333,1.5833,0,0,1,35.0000,13.0000,6.0000,16.0000,38.0000,46.0000,0.3714,1.0857,1.3143,14.0000,5.0000,2.0000,7.0000,15.0000,17.0000,0.3571,1.0714,1.2143,1.0000,1.0000,49.0000,0.3673,1.0816,1.2857,1.4879,1.1579,0.3636,4.0000,-0.0690,0.0143,0.3571,1.4879,0.7490,54.8200,False,confirmado,,6
Netherlands,UEFA,7.0000,1756.2700,11,55,30,13,12,96,52,0.5455,1.7455,0.9455,2.0000,2022.0000,0,3,5,7,2,12,8,3,1,25,8,0.6667,2.0833,0.6667,0,3,1,44.0000,21.0000,7.0000,16.0000,54.0000,52.0000,0.4773,1.2273,1.1818,16.0000,4.0000,11.0000,1.0000,18.0000,15.0000,0.2500,1.1250,0.9375,1.0000,2.0000,60.0000,0.4167,1.2000,1.1167,1.8461,3.1248,0.5000,16.0000,0.1212,0.2273,0.2500,1.8461,0.7974,70.8300,False,confirmado,,7
Morocco,CAF,8.0000,1736.5700,6,23,6,6,11,20,27,0.2609,0.8696,1.1739,4.0000,2022.0000,0,0,1,1,2,10,4,2,4,8,9,0.4000,0.8000,0.9000,0,0,0,34.0000,10.0000,12.0000,12.0000,45.0000,49.0000,0.2941,1.3235,1.4412,13.0000,6.0000,6.0000,1.0000,14.0000,7.0000,0.4615,1.0769,0.5385,0.0000,2.0000,47.0000,0.3404,1.2553,1.1915,0.7408,0.8889,0.2727,1.0000,0.1391,-0.1674,0.4615,0.7408,0.7485,39.9800,False,confirmado,,8
Belgium,UEFA,9.0000,1730.7100,14,51,21,10,20,69,74,0.4118,1.3529,1.4510,3.0000,2022.0000,0,0,2,3,3,15,11,1,3,23,11,0.7333,1.5333,0.7333,0,0,1,41.0000,12.0000,9.0000,20.0000,42.0000,55.0000,0.2927,1.0244,1.3415,10.0000,1.0000,4.0000,5.0000,5.0000,9.0000,0.1000,0.5000,0.9000,0.0000,1.0000,51.0000,0.2549,0.9216,1.2549,0.9324,2.0910,0.6364,4.0000,0.3215,0.1927,0.1000,0.9324,0.6891,53.2900,False,confirmado,,9
Germany,UEFA,10.0000,1724.1500,20,118,70,23,25,237,135,0.5932,2.0085,1.1441,1.0000,2022.0000,4,8,13,18,3,13,8,2,3,26,13,0.6154,2.0000,1.0000,4,4,4,39.0000,12.0000,12.0000,15.0000,39.0000,41.0000,0.3077,1.0000,1.0513,11.0000,5.0000,4.0000,2.0000,10.0000,5.0000,0.4545,0.9091,0.4545,0.0000,2.0000,50.0000,0.3400,0.9800,0.9200,1.7555,2.0000,0.9091,53.0000,0.0222,-0.1468,0.4545,1.7555,0.7548,88.6600,False,confirmado,,10
