equipo,confederacion,ranking_fifa,puntos_fifa,mundiales_jugados,partidos_totales,victorias_totales,empates_totales,derrotas_totales,gf_total,gc_total,win_rate_historico,gf_prom_hist,gc_prom_hist,mejor_posicion,ultimo_mundial,veces_campeon,veces_final,veces_semifinal,veces_cuartos,mundiales_recientes,partidos_recientes,victorias_recientes,empates_recientes,derrotas_recientes,gf_reciente,gc_reciente,win_rate_reciente,gf_prom_rec,gc_prom_rec,summary_campeon,summary_sub,summary_tercero,ptd_grupos_match,v_grupos_match,e_grupos_match,d_grupos_match,gf_grupos_match,gc_grupos_match,wr_grupos_match,gfp_grupos_match,gcp_grupos_match,ptd_ko_match,v_ko_match,e_ko_match,d_ko_match,gf_ko_match,gc_ko_match,wr_ko_match,gfp_ko_match,gcp_ko_match,finales_jugadas,semis_jugadas,ptd_total_match,wr_total_match,gfp_total_match,gcp_total_match,ratio_goles_hist,ratio_goles_rec,consistencia_mundial,indice_titulo,tendencia,brecha_grupos_ko,indice_presion,eficiencia_goleadora,solidez_defensiva,indice_rendimiento
Brazil,CONMEBOL,5.0000,1760.4600,22,114,76,18,20,237,108,0.6667,2.0789,0.9474,1,2022,5,7,11,19,3,17,9,3,5,27,20,0.5294,1.5882,1.1765,5,2,2,36.0000,15.0000,11.0000,10.0000,41.0000,38.0000,0.4167,1.1389,1.0556,12.0000,4.0000,6.0000,2.0000,12.0000,11.0000,0.3333,1.0000,0.9167,0.0000,0.0000,48.0000,0.3958,1.1042,1.0208,2.1943,1.3499,1.0000,46,-0.1373,0.0834,0.3333,2.1943,0.7970,86.9900
Germany,UEFA,10.0000,1724.1500,20,118,70,23,25,237,135,0.5932,2.0085,1.1441,1,2022,4,8,13,18,3,13,8,2,3,26,13,0.6154,2.0000,1.0000,4,4,4,39.0000,12.0000,12.0000,15.0000,39.0000,41.0000,0.3077,1.0000,1.0513,11.0000,5.0000,4.0000,2.0000,10.0000,5.0000,0.4545,0.9091,0.4545,0.0000,2.0000,50.0000,0.3400,0.9800,0.9200,1.7555,2.0000,0.9091,53,0.0222,-0.1468,0.4545,1.7555,0.7548,88.6600
Argentina,CONMEBOL,2.0000,1873.3300,18,88,49,15,24,152,101,0.5568,1.7273,1.1477,1,2022,3,6,6,11,3,18,12,2,4,29,21,0.6667,1.6111,1.1667,3,3,0,47.0000,17.0000,11.0000,19.0000,55.0000,57.0000,0.3617,1.1702,1.2128,16.0000,6.0000,3.0000,7.0000,12.0000,16.0000,0.3750,0.7500,1.0000,2.0000,1.0000,63.0000,0.3651,1.0635,1.1587,1.5050,1.3809,0.8182,30,0.1099,-0.0133,0.3750,1.5050,0.7541,76.7800
Netherlands,UEFA,7.0000,1756.2700,11,55,30,13,12,96,52,0.5455,1.7455,0.9455,2,2022,0,3,5,7,2,12,8,3,1,25,8,0.6667,2.0833,0.6667,0,3,1,44.0000,21.0000,7.0000,16.0000,54.0000,52.0000,0.4773,1.2273,1.1818,16.0000,4.0000,11.0000,1.0000,18.0000,15.0000,0.2500,1.1250,0.9375,1.0000,2.0000,60.0000,0.4167,1.2000,1.1167,1.8461,3.1248,0.5000,16,0.1212,0.2273,0.2500,1.8461,0.7974,70.8300
Italy,UEFA,12.0000,1702.0600,18,82,44,21,17,127,77,0.5366,1.5488,0.9390,1,2014,4,6,8,10,1,3,1,0,2,2,3,0.3333,0.6667,1.0000,4,2,1,34.0000,16.0000,7.0000,11.0000,47.0000,40.0000,0.4706,1.3824,1.1765,16.0000,7.0000,2.0000,7.0000,13.0000,11.0000,0.4375,0.8125,0.6875,1.0000,0.0000,50.0000,0.4600,1.2000,1.0200,1.6494,0.6667,0.8182,36,-0.2033,0.0331,0.4375,1.6494,0.7988,69.0600
France,UEFA,3.0000,1870.0000,16,73,39,13,21,136,85,0.5342,1.8630,1.1644,1,2022,2,4,7,10,3,19,14,2,3,40,17,0.7368,2.1053,0.8947,2,2,2,41.0000,14.0000,8.0000,19.0000,54.0000,59.0000,0.3415,1.3171,1.4390,15.0000,4.0000,5.0000,6.0000,12.0000,14.0000,0.2667,0.8000,0.9333,0.0000,2.0000,56.0000,0.3214,1.1786,1.3036,1.6000,2.3531,0.7273,27,0.2026,0.0748,0.2667,1.6000,0.7505,75.5000
Turkey,UEFA,25.0000,1582.6900,2,10,5,1,4,20,17,0.5000,2.0000,1.7000,3,2002,0,0,1,1,0,0,0,0,0,0,0,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1.1765,,0.0909,3,,,,1.1765,0.6357,58.6400
Croatia,UEFA,11.0000,1716.8800,6,30,15,6,9,43,33,0.5000,1.4333,1.1000,2,2022,0,1,3,3,3,17,9,4,4,28,22,0.5294,1.6471,1.2941,0,1,2,32.0000,8.0000,7.0000,17.0000,41.0000,57.0000,0.2500,1.2812,1.7812,15.0000,4.0000,4.0000,7.0000,12.0000,15.0000,0.2667,0.8000,1.0000,0.0000,4.0000,47.0000,0.2553,1.1277,1.5319,1.3030,1.2728,0.2727,10,0.0294,-0.0167,0.2667,1.3030,0.7643,58.4800
Portugal,UEFA,6.0000,1760.3800,8,35,17,6,12,61,41,0.4857,1.7429,1.1714,3,2022,0,0,2,3,3,12,5,3,4,22,19,0.4167,1.8333,1.5833,0,0,1,35.0000,13.0000,6.0000,16.0000,38.0000,46.0000,0.3714,1.0857,1.3143,14.0000,5.0000,2.0000,7.0000,15.0000,17.0000,0.3571,1.0714,1.2143,1.0000,1.0000,49.0000,0.3673,1.0816,1.2857,1.4879,1.1579,0.3636,4,-0.0690,0.0143,0.3571,1.4879,0.7490,54.8200
Spain,UEFA,1.0000,1877.1800,16,66,31,16,19,108,74,0.4697,1.6364,1.1212,1,2022,1,1,2,6,3,11,3,4,4,20,16,0.2727,1.8182,1.4545,1,0,0,35.0000,13.0000,11.0000,11.0000,44.0000,36.0000,0.3714,1.2571,1.0286,17.0000,1.0000,8.0000,8.0000,15.0000,25.0000,0.0588,0.8824,1.4706,3.0000,3.0000,52.0000,0.2692,1.1346,1.1731,1.4595,1.2501,0.7273,7,-0.1970,0.3126,0.0588,1.4595,0.7597,44.1800
Hungary,UEFA,41.0000,1496.2900,9,32,15,3,14,87,57,0.4688,2.7188,1.7812,2,1986,0,2,2,5,0,0,0,0,0,0,0,,,,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,1.5264,,0.4091,8,,,,1.5264,0.6183,59.8300
Poland,UEFA,31.0000,1532.0400,9,38,17,6,15,49,50,0.4474,1.2895,1.3158,3,2022,0,0,2,3,2,7,2,1,4,5,10,0.2857,0.7143,1.4286,0,0,2,34.0000,12.0000,8.0000,14.0000,37.0000,39.0000,0.3529,1.0882,1.1471,12.0000,1.0000,7.0000,4.0000,8.0000,12.0000,0.0833,0.6667,1.0000,0.0000,1.0000,46.0000,0.2826,0.9783,1.1087,0.9800,0.5000,0.4091,6,-0.1617,0.2696,0.0833,0.9800,0.7180,40.4600
England,UEFA,4.0000,1834.1200,16,74,32,22,20,104,68,0.4324,1.4054,0.9189,1,2022,1,1,3,12,3,15,6,3,6,27,16,0.4000,1.8000,1.0667,1,0,0,36.0000,12.0000,14.0000,10.0000,47.0000,40.0000,0.3333,1.3056,1.1111,7.0000,3.0000,3.0000,1.0000,8.0000,6.0000,0.4286,1.1429,0.8571,2.0000,1.0000,43.0000,0.3488,1.2791,1.0698,1.5294,1.6874,0.7273,8,-0.0324,-0.0953,0.4286,1.5294,0.8031,55.0700
Uruguay,CONMEBOL,16.0000,1672.6200,14,59,25,13,21,89,76,0.4237,1.5085,1.2881,1,2022,2,2,5,7,3,12,7,1,4,13,11,0.5833,1.0833,0.9167,2,0,0,36.0000,8.0000,9.0000,19.0000,30.0000,52.0000,0.2222,0.8333,1.4444,16.0000,3.0000,9.0000,4.0000,14.0000,15.0000,0.1875,0.8750,0.9375,1.0000,3.0000,52.0000,0.2115,0.8462,1.2885,1.1711,1.1817,0.6364,15,0.1596,0.0347,0.1875,1.1711,0.7240,56.2700
Russia,UEFA,33.0000,1524.5200,11,45,19,10,16,77,54,0.4222,1.7111,1.2000,4,2018,0,0,1,6,2,8,2,4,2,13,10,0.2500,1.6250,1.2500,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1.4259,1.3000,0.5000,1,-0.1722,,,1.4259,0.7429,46.0500
Senegal,CAF,19.0000,1648.0700,3,12,5,3,4,16,17,0.4167,1.3333,1.4167,7,2022,0,0,0,1,2,7,3,1,3,9,11,0.4286,1.2857,1.5714,0,0,0,42.0000,9.0000,15.0000,18.0000,43.0000,59.0000,0.2143,1.0238,1.4048,11.0000,3.0000,6.0000,2.0000,8.0000,7.0000,0.2727,0.7273,0.6364,0.0000,2.0000,53.0000,0.2264,0.9623,1.2453,0.9411,0.8182,0.1364,0,0.0119,-0.0584,0.2727,0.9411,0.6964,45.1800
Austria,UEFA,24.0000,1585.5100,7,29,12,4,13,43,47,0.4138,1.4828,1.6207,3,1998,0,0,2,4,0,0,0,0,0,0,0,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,0.9149,,0.3182,4,,,,0.9149,0.6527,48.7000
Belgium,UEFA,9.0000,1730.7100,14,51,21,10,20,69,74,0.4118,1.3529,1.4510,3,2022,0,0,2,3,3,15,11,1,3,23,11,0.7333,1.5333,0.7333,0,0,1,41.0000,12.0000,9.0000,20.0000,42.0000,55.0000,0.2927,1.0244,1.3415,10.0000,1.0000,4.0000,5.0000,5.0000,9.0000,0.1000,0.5000,0.9000,0.0000,1.0000,51.0000,0.2549,0.9216,1.2549,0.9324,2.0910,0.6364,4,0.3215,0.1927,0.1000,0.9324,0.6891,53.2900
Colombia,CONMEBOL,13.0000,1701.3000,6,22,9,3,10,32,30,0.4091,1.4545,1.3636,5,2018,0,0,0,1,2,9,6,1,2,18,7,0.6667,2.0000,0.7778,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1.0667,2.5714,0.2727,0,0.2576,,,1.0667,0.7078,56.5000
Ukraine,UEFA,28.0000,1557.4700,1,5,2,1,2,5,7,0.4000,1.0000,1.4000,8,2006,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.7143,,0.0455,0,,,,0.7143,0.7000,44.4500
Denmark,UEFA,21.0000,1616.7500,6,23,9,6,8,31,29,0.3913,1.3478,1.2609,8,2022,0,0,0,1,2,7,1,4,2,4,5,0.1429,0.5714,0.7143,0,0,0,47.0000,15.0000,16.0000,16.0000,54.0000,50.0000,0.3191,1.1489,1.0638,12.0000,4.0000,3.0000,5.0000,8.0000,8.0000,0.3333,0.6667,0.6667,0.0000,2.0000,59.0000,0.3220,1.0508,0.9831,1.0689,0.7999,0.2727,0,-0.2484,-0.0142,0.3333,1.0689,0.7298,36.4300
Serbia,UEFA,37.0000,1506.3400,12,46,18,9,19,69,61,0.3913,1.5000,1.3261,4,2022,0,0,2,7,2,6,1,1,4,7,12,0.1667,1.1667,2.0000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1.1311,0.5834,0.5455,2,-0.2246,,,1.1311,0.7158,39.5800
Ecuador,CONMEBOL,23.0000,1591.7300,4,13,5,2,6,14,14,0.3846,1.0769,1.0769,12,2022,0,0,0,0,2,6,2,2,2,7,6,0.3333,1.1667,1.0000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1.0000,1.1667,0.1818,0,-0.0513,,,1.0000,0.7692,43.1400
Romania,UEFA,,,7,21,8,5,8,30,32,0.3810,1.4286,1.5238,6,1998,0,0,0,2,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.9375,,0.3182,0,,,,0.9375,0.6735,44.1000
Sweden,UEFA,,,12,51,19,13,19,80,73,0.3725,1.5686,1.4314,2,2018,0,1,4,7,1,5,3,0,2,6,4,0.6000,1.2000,0.8000,0,1,2,51.0000,22.0000,15.0000,14.0000,64.0000,52.0000,0.4314,1.2549,1.0196,13.0000,3.0000,6.0000,4.0000,11.0000,12.0000,0.2308,0.8462,0.9231,2.0000,0.0000,64.0000,0.3906,1.1719,1.0000,1.0959,1.5000,0.5455,11,0.2275,0.2006,0.2308,1.0959,0.6933,53.3800
Switzerland,UEFA,17.0000,1654.6900,12,41,14,8,19,55,73,0.3415,1.3415,1.7805,5,2022,0,0,0,4,3,12,5,2,5,17,21,0.4167,1.4167,1.7500,0,0,0,43.0000,20.0000,12.0000,11.0000,63.0000,52.0000,0.4651,1.4651,1.2093,16.0000,6.0000,8.0000,2.0000,16.0000,12.0000,0.3750,1.0000,0.7500,1.0000,4.0000,59.0000,0.4407,1.3390,1.0847,0.7534,0.8095,0.5455,0,0.0752,0.0901,0.3750,0.7534,0.6185,42.1600
Ghana,CAF,44.0000,1470.0000,4,15,5,3,7,18,23,0.3333,1.2000,1.5333,7,2022,0,0,0,1,2,6,1,1,4,9,13,0.1667,1.5000,2.1667,0,0,0,32.0000,18.0000,5.0000,9.0000,53.0000,38.0000,0.5625,1.6562,1.1875,16.0000,6.0000,6.0000,4.0000,15.0000,14.0000,0.3750,0.9375,0.8750,0.0000,2.0000,48.0000,0.5000,1.4167,1.0833,0.7826,0.6923,0.1818,0,-0.1666,0.1875,0.3750,0.7826,0.6714,33.5000
Jamaica,CONCACAF,61.0000,1375.0000,1,3,1,0,2,3,9,0.3333,1.0000,3.0000,22,1998,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.3333,,0.0455,0,,,,0.3333,0.3571,35.2500
Ivory Coast,CAF,42.0000,1489.5900,3,9,3,1,5,13,14,0.3333,1.4444,1.5556,17,2014,0,0,0,0,1,3,1,0,2,4,5,0.3333,1.3333,1.6667,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.9285,0.8000,0.1364,0,0.0000,,,0.9285,0.6667,39.3200
Czech Republic,UEFA,,,1,3,1,0,2,3,4,0.3333,1.0000,1.3333,20,2006,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.7500,,0.0455,0,,,,0.7500,0.7143,38.1000
