equipo,confederacion,mundiales_jugados,partidos_totales,victorias_totales,empates_totales,derrotas_totales,gf_total,gc_total,win_rate_historico,gf_prom_hist,gc_prom_hist,mejor_posicion,ultimo_mundial,veces_campeon,veces_final,veces_semifinal,veces_cuartos,mundiales_recientes,partidos_recientes,victorias_recientes,empates_recientes,derrotas_recientes,gf_reciente,gc_reciente,win_rate_reciente,gf_prom_rec,gc_prom_rec,summary_campeon,summary_sub,summary_tercero
Brazil,CONMEBOL,22,114,76,18,20,237,108,0.6667,2.0789,0.9474,1,2022,5,7,11,19,3,17,9,3,5,27,20,0.5294,1.5882,1.1765,5,2,2
Germany,UEFA,20,118,70,23,25,237,135,0.5932,2.0085,1.1441,1,2022,4,8,13,18,3,13,8,2,3,26,13,0.6154,2.0000,1.0000,4,4,4
Argentina,CONMEBOL,18,88,49,15,24,152,101,0.5568,1.7273,1.1477,1,2022,3,6,6,11,3,18,12,2,4,29,21,0.6667,1.6111,1.1667,3,3,0
Netherlands,UEFA,11,55,30,13,12,96,52,0.5455,1.7455,0.9455,2,2022,0,3,5,7,2,12,8,3,1,25,8,0.6667,2.0833,0.6667,0,3,1
Italy,UEFA,18,82,44,21,17,127,77,0.5366,1.5488,0.9390,1,2014,4,6,8,10,1,3,1,0,2,2,3,0.3333,0.6667,1.0000,4,2,1
France,UEFA,16,73,39,13,21,136,85,0.5342,1.8630,1.1644,1,2022,2,4,7,10,3,19,14,2,3,40,17,0.7368,2.1053,0.8947,2,2,2
Turkey,UEFA,2,10,5,1,4,20,17,0.5000,2.0000,1.7000,3,2002,0,0,1,1,0,0,0,0,0,0,0,,,,0,0,1
Croatia,UEFA,6,30,15,6,9,43,33,0.5000,1.4333,1.1000,2,2022,0,1,3,3,3,17,9,4,4,28,22,0.5294,1.6471,1.2941,0,1,2
Portugal,UEFA,8,35,17,6,12,61,41,0.4857,1.7429,1.1714,3,2022,0,0,2,3,3,12,5,3,4,22,19,0.4167,1.8333,1.5833,0,0,1
Spain,UEFA,16,66,31,16,19,108,74,0.4697,1.6364,1.1212,1,2022,1,1,2,6,3,11,3,4,4,20,16,0.2727,1.8182,1.4545,1,0,0
Hungary,UEFA,9,32,15,3,14,87,57,0.4688,2.7188,1.7812,2,1986,0,2,2,5,0,0,0,0,0,0,0,,,,0,2,0
Poland,UEFA,9,38,17,6,15,49,50,0.4474,1.2895,1.3158,3,2022,0,0,2,3,2,7,2,1,4,5,10,0.2857,0.7143,1.4286,0,0,2
England,UEFA,16,74,32,22,20,104,68,0.4324,1.4054,0.9189,1,2022,1,1,3,12,3,15,6,3,6,27,16,0.4000,1.8000,1.0667,1,0,0
Uruguay,CONMEBOL,14,59,25,13,21,89,76,0.4237,1.5085,1.2881,1,2022,2,2,5,7,3,12,7,1,4,13,11,0.5833,1.0833,0.9167,2,0,0
Russia,UEFA,11,45,19,10,16,77,54,0.4222,1.7111,1.2000,4,2018,0,0,1,6,2,8,2,4,2,13,10,0.2500,1.6250,1.2500,0,0,0
Senegal,CAF,3,12,5,3,4,16,17,0.4167,1.3333,1.4167,7,2022,0,0,0,1,2,7,3,1,3,9,11,0.4286,1.2857,1.5714,0,0,0
Austria,UEFA,7,29,12,4,13,43,47,0.4138,1.4828,1.6207,3,1998,0,0,2,4,0,0,0,0,0,0,0,,,,0,0,1
Belgium,UEFA,14,51,21,10,20,69,74,0.4118,1.3529,1.4510,3,2022,0,0,2,3,3,15,11,1,3,23,11,0.7333,1.5333,0.7333,0,0,1
Colombia,CONMEBOL,6,22,9,3,10,32,30,0.4091,1.4545,1.3636,5,2018,0,0,0,1,2,9,6,1,2,18,7,0.6667,2.0000,0.7778,0,0,0
Ukraine,UEFA,1,5,2,1,2,5,7,0.4000,1.0000,1.4000,8,2006,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0
Denmark,UEFA,6,23,9,6,8,31,29,0.3913,1.3478,1.2609,8,2022,0,0,0,1,2,7,1,4,2,4,5,0.1429,0.5714,0.7143,0,0,0
Serbia,UEFA,12,46,18,9,19,69,61,0.3913,1.5000,1.3261,4,2022,0,0,2,7,2,6,1,1,4,7,12,0.1667,1.1667,2.0000,0,0,0
Ecuador,CONMEBOL,4,13,5,2,6,14,14,0.3846,1.0769,1.0769,12,2022,0,0,0,0,2,6,2,2,2,7,6,0.3333,1.1667,1.0000,0,0,0
Romania,UEFA,7,21,8,5,8,30,32,0.3810,1.4286,1.5238,6,1998,0,0,0,2,0,0,0,0,0,0,0,,,,0,0,0
Sweden,UEFA,12,51,19,13,19,80,73,0.3725,1.5686,1.4314,2,2018,0,1,4,7,1,5,3,0,2,6,4,0.6000,1.2000,0.8000,0,1,2
Switzerland,UEFA,12,41,14,8,19,55,73,0.3415,1.3415,1.7805,5,2022,0,0,0,4,3,12,5,2,5,17,21,0.4167,1.4167,1.7500,0,0,0
Ghana,CAF,4,15,5,3,7,18,23,0.3333,1.2000,1.5333,7,2022,0,0,0,1,2,6,1,1,4,9,13,0.1667,1.5000,2.1667,0,0,0
Jamaica,CONCACAF,1,3,1,0,2,3,9,0.3333,1.0000,3.0000,22,1998,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
Ivory Coast,CAF,3,9,3,1,5,13,14,0.3333,1.4444,1.5556,17,2014,0,0,0,0,1,3,1,0,2,4,5,0.3333,1.3333,1.6667,0,0,0
Czech Republic,UEFA,1,3,1,0,2,3,4,0.3333,1.0000,1.3333,20,2006,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
Cuba,CONCACAF,1,3,1,1,1,5,12,0.3333,1.6667,4.0000,7,1938,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0
Bosnia and Herzegovina,OTROS,1,3,1,0,2,4,4,0.3333,1.3333,1.3333,20,2014,0,0,0,0,1,3,1,0,2,4,4,0.3333,1.3333,1.3333,0,0,0
Chile,CONMEBOL,9,33,11,7,15,40,49,0.3333,1.2121,1.4848,3,2014,0,0,1,2,1,4,2,1,1,6,4,0.5000,1.5000,1.0000,0,0,1
Costa Rica,CONCACAF,6,21,6,5,10,22,39,0.2857,1.0476,1.8571,8,2022,0,0,0,1,3,11,3,4,4,10,18,0.2727,0.9091,1.6364,0,0,0
Nigeria,CAF,6,21,6,3,12,23,30,0.2857,1.0952,1.4286,9,2018,0,0,0,0,2,7,2,1,4,6,9,0.2857,0.8571,1.2857,0,0,0
Mexico,CONCACAF,17,60,17,15,28,62,101,0.2833,1.0333,1.6833,6,2022,0,0,0,2,3,11,5,2,4,10,12,0.4545,0.9091,1.0909,0,0,0
Japan,AFC,7,25,7,5,13,25,33,0.2800,1.0000,1.3200,9,2022,0,0,0,0,3,11,3,2,6,13,17,0.2727,1.1818,1.5455,0,0,0
Peru,CONMEBOL,5,18,5,3,10,21,33,0.2778,1.1667,1.8333,7,2018,0,0,0,2,1,3,1,0,2,2,2,0.3333,0.6667,0.6667,0,0,0
Morocco,CAF,6,23,6,6,11,20,27,0.2609,0.8696,1.1739,4,2022,0,0,1,1,2,10,4,2,4,8,9,0.4000,0.8000,0.9000,0,0,0
Paraguay,CONMEBOL,8,27,7,10,10,30,38,0.2593,1.1111,1.4074,8,2010,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0
Norway,UEFA,3,8,2,3,3,7,8,0.2500,0.8750,1.0000,12,1998,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
Slovakia,UEFA,1,4,1,1,2,5,7,0.2500,1.2500,1.7500,16,2010,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
USA,CONCACAF,11,37,9,8,20,40,66,0.2432,1.0811,1.7838,3,2022,0,0,1,2,2,8,2,3,3,8,10,0.2500,1.0000,1.2500,0,0,1
