ranking_fifa,equipo,confederacion,puntos_fifa
1,Spain,UEFA,1877.18
2,Argentina,CONMEBOL,1873.33
3,France,UEFA,1870.00
4,England,UEFA,1834.12
5,Brazil,CONMEBOL,1760.46
6,Portugal,UEFA,1760.38
7,Netherlands,UEFA,1756.27
8,Morocco,CAF,1736.57
9,Belgium,UEFA,1730.71
10,Germany,UEFA,1724.15
11,Croatia,UEFA,1716.88
12,Italy,UEFA,1702.06
13,Colombia,CONMEBOL,1701.30
14,USA,CONCACAF,1681.88
15,Mexico,CONCACAF,1675.75
16,Uruguay,CONMEBOL,1672.62
17,Switzerland,UEFA,1654.69
18,Japan,AFC,1650.12
19,Senegal,CAF,1648.07
20,Iran,AFC,1617.02
21,Denmark,UEFA,1616.75
22,South Korea,AFC,1599.45
23,Ecuador,CONMEBOL,1591.73
24,Austria,UEFA,1585.51
25,Turkey,UEFA,1582.69
26,Australia,AFC,1574.01
27,Canada,CONCACAF,1559.15
28,Ukraine,UEFA,1557.47
29,Norway,UEFA,1553.14
30,Panama,CONCACAF,1540.43
31,Poland,UEFA,1532.04
32,Wales,UEFA,1529.71
33,Russia,UEFA,1524.52
34,Egypt,CAF,1520.68
35,Algeria,CAF,1516.37
36,Scotland,UEFA,1506.77
37,Serbia,UEFA,1506.34
38,Nigeria,CAF,1502.46
39,Paraguay,CONMEBOL,1501.50
40,Tunisia,CAF,1497.13
41,Hungary,UEFA,1496.29
42,Ivory Coast,CAF,1489.59
44,Ghana,CAF,1470.00
47,Venezuela,CONMEBOL,1450.00
48,Costa Rica,CONCACAF,1445.00
52,Cameroon,CAF,1420.00
56,Saudi Arabia,AFC,1400.00
61,Jamaica,CONCACAF,1375.00
66,South Africa,,1365.00
67,New Zealand,OFC,1340.00
70,Honduras,CONCACAF,1325.00
72,Uzbekistan,AFC,1310.00
73,Cape Verde,,1298.00
77,Curacao,,1285.00
80,Iraq,AFC,1280.00
85,Qatar,AFC,1255.00
93,Jordan,,1242.00
103,Haiti,,1215.00
